season,team,home_matches,home_points,home_wins,home_draws,home_losses,home_gf,home_ga,away_matches,away_points,away_wins,away_draws,away_losses,away_gf,away_ga,matches,points,wins,draws,losses,ga,gf,gd,ppg,draw_ratio,loss_ratio,gd_per_match,gf_per_match,ga_per_match,home_gd,away_gd,home_win_ratio,away_win_ratio,win_ratio,champion,champion_probability
2004/05,Liverpool,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.5,1,0.9200374507371074
2006/07,Chelsea,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.5,0.0,0.5,0.0,0.5,0.5,1.0,-1.0,1.0,0.0,0.5,1,0.478035492313505
2008/09,Manchester United,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,6.0,2.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,1.5,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1,0.99079689374799
2014/15,Norwich City,20.0,37.0,11.0,4.0,5.0,41.0,20.0,21.0,40.0,12.0,4.0,5.0,35.0,23.0,41.0,77.0,23.0,8.0,10.0,43.0,76.0,33.0,1.8780487804878048,0.1951219512195122,0.24390243902439024,0.8048780487804879,1.853658536585366,1.048780487804878,21.0,12.0,0.55,0.5714285714285714,0.5609756097560976,1,0.9145704172361102
2015/16,Reading,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1,0.9810621329112602
2016/17,Nottingham Forest,1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1,0.9764489044031655
2017/18,Wolverhampton Wanderers,17.0,39.0,12.0,3.0,2.0,35.0,11.0,17.0,34.0,11.0,1.0,5.0,25.0,17.0,34.0,73.0,23.0,4.0,7.0,28.0,60.0,32.0,2.1470588235294117,0.11764705882352941,0.20588235294117646,0.9411764705882353,1.7647058823529411,0.8235294117647058,24.0,8.0,0.7058823529411765,0.6470588235294118,0.6764705882352942,1,0.9867914200785076
2018/19,Manchester City,30.0,79.0,26.0,1.0,3.0,94.0,36.0,29.0,53.0,16.0,5.0,8.0,50.0,31.0,59.0,132.0,42.0,6.0,11.0,67.0,144.0,77.0,2.23728813559322,0.1016949152542373,0.1864406779661017,1.305084745762712,2.440677966101695,1.1355932203389831,58.0,19.0,0.8666666666666667,0.5517241379310345,0.711864406779661,1,0.9746696529372392
2019/20,Liverpool,31.0,80.0,25.0,5.0,1.0,87.0,34.0,29.0,53.0,16.0,5.0,8.0,43.0,39.0,60.0,133.0,41.0,10.0,9.0,73.0,130.0,57.0,2.216666666666667,0.16666666666666666,0.15,0.95,2.1666666666666665,1.2166666666666666,53.0,4.0,0.8064516129032258,0.5517241379310345,0.6833333333333333,1,0.983059075895418
2020/21,Manchester City,30.0,65.0,20.0,5.0,5.0,75.0,30.0,33.0,77.0,24.0,5.0,4.0,75.0,29.0,63.0,142.0,44.0,10.0,9.0,59.0,150.0,91.0,2.253968253968254,0.15873015873015872,0.14285714285714285,1.4444444444444444,2.380952380952381,0.9365079365079365,45.0,46.0,0.6666666666666666,0.7272727272727273,0.6984126984126984,1,0.9807599429421778
2021/22,Manchester City,31.0,76.0,24.0,4.0,3.0,95.0,30.0,30.0,67.0,20.0,7.0,3.0,66.0,25.0,61.0,143.0,44.0,11.0,6.0,55.0,161.0,106.0,2.3442622950819674,0.18032786885245902,0.09836065573770492,1.7377049180327868,2.639344262295082,0.9016393442622951,65.0,41.0,0.7741935483870968,0.6666666666666666,0.7213114754098361,1,0.9928810205304422
2022/23,Arsenal,15.0,38.0,12.0,2.0,1.0,42.0,18.0,15.0,33.0,10.0,3.0,2.0,28.0,11.0,30.0,71.0,22.0,5.0,3.0,29.0,70.0,41.0,2.3666666666666667,0.16666666666666666,0.1,1.3666666666666667,2.3333333333333335,0.9666666666666667,24.0,17.0,0.8,0.6666666666666666,0.7333333333333333,1,0.9778741317350625
English Community Shield Season 2022/2023,Liverpool,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1,0.9810621329112602
English FA Youth Cup Season 2021/2022,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0.9638221017578337
English Football League - Championship Season 2020/2021,Norwich City,16.0,31.0,9.0,4.0,3.0,29.0,11.0,15.0,34.0,11.0,1.0,3.0,24.0,14.0,31.0,65.0,20.0,5.0,6.0,25.0,53.0,28.0,2.096774193548387,0.16129032258064516,0.1935483870967742,0.9032258064516129,1.7096774193548387,0.8064516129032258,18.0,10.0,0.5625,0.7333333333333333,0.6451612903225806,1,0.9723144820504819
English Football League - Championship Season 2021/2022,Bournemouth,18.0,36.0,10.0,6.0,2.0,32.0,16.0,17.0,33.0,10.0,3.0,4.0,28.0,15.0,35.0,69.0,20.0,9.0,6.0,31.0,60.0,29.0,1.9714285714285715,0.2571428571428571,0.17142857142857143,0.8285714285714286,1.7142857142857142,0.8857142857142857,16.0,13.0,0.5555555555555556,0.5882352941176471,0.5714285714285714,1,0.9264798251450671
English Football League - League One Season 2013/2014,Wolverhampton Wanderers,3.0,5.0,1.0,2.0,0.0,3.0,1.0,3.0,7.0,2.0,1.0,0.0,6.0,1.0,6.0,12.0,3.0,3.0,0.0,2.0,9.0,7.0,2.0,0.5,0.0,1.1666666666666667,1.5,0.3333333333333333,2.0,5.0,0.3333333333333333,0.6666666666666666,0.5,1,0.9863415359914063
English Football League - League One Season 2016/2017,Sheffield United,3.0,9.0,3.0,0.0,0.0,6.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,6.0,13.0,4.0,1.0,1.0,4.0,9.0,5.0,2.1666666666666665,0.16666666666666666,0.16666666666666666,0.8333333333333334,1.5,0.6666666666666666,5.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1,0.9652614503006891
English Football League - League One Season 2017/2018,Blackburn Rovers,4.0,10.0,3.0,1.0,0.0,10.0,2.0,4.0,7.0,2.0,1.0,1.0,6.0,4.0,8.0,17.0,5.0,2.0,1.0,6.0,16.0,10.0,2.125,0.25,0.125,1.25,2.0,0.75,8.0,2.0,0.75,0.5,0.625,1,0.963509325688832
English Football League - League One Season 2018/2019,Portsmouth,6.0,10.0,3.0,1.0,2.0,7.0,5.0,6.0,7.0,2.0,1.0,3.0,7.0,8.0,12.0,17.0,5.0,2.0,5.0,13.0,14.0,1.0,1.4166666666666667,0.16666666666666666,0.4166666666666667,0.08333333333333333,1.1666666666666667,1.0833333333333333,2.0,-1.0,0.5,0.3333333333333333,0.4166666666666667,1,0.8097525569209791
English Football League - League One Season 2019/2020,Coventry City,5.0,13.0,4.0,1.0,0.0,8.0,4.0,4.0,6.0,1.0,3.0,0.0,5.0,4.0,9.0,19.0,5.0,4.0,0.0,8.0,13.0,5.0,2.111111111111111,0.4444444444444444,0.0,0.5555555555555556,1.4444444444444444,0.8888888888888888,4.0,1.0,0.8,0.25,0.5555555555555556,1,0.9756593770145451
English Football League - League One Season 2020/2021,Blackpool,6.0,12.0,4.0,0.0,2.0,7.0,7.0,6.0,13.0,4.0,1.0,1.0,11.0,3.0,12.0,25.0,8.0,1.0,3.0,10.0,18.0,8.0,2.0833333333333335,0.08333333333333333,0.25,0.6666666666666666,1.5,0.8333333333333334,0.0,8.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.9647996713001719
English Football League - League One Season 2021/2022,Bolton Wanderers,5.0,10.0,3.0,1.0,1.0,11.0,6.0,5.0,7.0,2.0,1.0,2.0,10.0,6.0,10.0,17.0,5.0,2.0,3.0,12.0,21.0,9.0,1.7,0.2,0.3,0.9,2.1,1.2,5.0,4.0,0.6,0.4,0.5,1,0.9153998972978732
English Football League - League Two Season 2017/2018,Coventry City,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,2.0,5.0,3.0,2.0,0.5,0.0,1.5,2.5,1.0,0.0,3.0,0.0,1.0,0.5,1,0.9745707012625252
English League Cup Season 2007/2008,Tottenham Hotspur,2.0,6.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,7.0,2.0,1.0,0.0,3.0,8.0,5.0,2.3333333333333335,0.3333333333333333,0.0,1.6666666666666667,2.6666666666666665,1.0,5.0,0.0,1.0,0.0,0.6666666666666666,1,0.9915538599565991
Friendly Season 2022/2023,Manchester United,3.0,7.0,2.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,1.0,0.0,3.0,9.0,6.0,2.3333333333333335,0.3333333333333333,0.0,2.0,3.0,1.0,6.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1,0.9917416330398571
International Champions Cup Season 2019/2020,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0.9638221017578337
Other Club Friendlies Season 2022/2023,Crystal Palace,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.7052118629825679
Premier League Asia Trophy Season 2019/2020,Wolverhampton Wanderers,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.5,1,0.9968229672039699
UEFA Champions League Season 2003/2004,Chelsea,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,0.5,0.0,0.5,1.5,1.0,0.0,1.0,0.0,1.0,0.5,1,0.9931417112807281
UEFA Super Cup Season 2019/2020,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.3803570036648922
